keyword,document_frequency,idf
a18,2,10.8218
a1995,1,11.2273
a1a,1,11.2273
a380,1,11.2273
a6m,1,11.2273
aa,4,10.3111
aa2,1,11.2273
aaa,1,11.2273
aaay,1,11.2273
aachen,1,11.2273
aaeemonae,1,11.2273
aagpbl,1,11.2273
aalborg,1,11.2273
aalda,1,11.2273
aaliyah,18,8.9763
aaliyahs,18,8.9763
aames,1,11.2273
aamonks,1,11.2273
aang,4,10.3111
aangs,4,10.3111
aardvark,14,9.2126
aardvarks,14,9.2126
aardwolf,1,11.2273
aaron,27,8.5887
aarons,27,8.5887
aash,1,11.2273
aat,1,11.2273
aay,1,11.2273
ab,14,9.2126
aba,2,10.8218
ababa,4,10.3111
abactor,1,11.2273
abacus,4,10.3111
abaddon,1,11.2273
abagnale,1,11.2273
abandando,1,11.2273
abandon,7,9.8411
abandoned,7,9.8411
abandons,7,9.8411
abba,7,9.8411
abbe,2,10.8218
abberline,1,11.2273
abbess,1,11.2273
abbey,6,9.9746
abbie,4,10.3111
abbot,3,10.5342
abbott,17,9.0304
abbotts,17,9.0304
abbreviated,23,8.7428
abbreviation,23,8.7428
abbreviations,23,8.7428
abby,4,10.3111
abc,59,7.8271
abcdef,1,11.2273
abcederrian,1,11.2273
abcs,59,7.8271
abd,4,10.3111
abdicated,7,9.8411
abdicating,7,9.8411
abdication,7,9.8411
abdomen,8,9.7233
abdominal,2,10.8218
abdominopelvic,1,11.2273
abduct,3,10.5342
abducted,3,10.5342
abdul,18,8.9763
abduls,18,8.9763
abe,14,9.2126
abecedarian,1,11.2273
abednego,2,10.8218
abel,9,9.618
abelian,1,11.2273
abell,9,9.618
abenaki,1,11.2273
aberdeen,3,10.5342
abes,14,9.2126
abhijnanashakuntala,1,11.2273
abi,1,11.2273
abide,1,11.2273
abigail,9,9.618
abigails,9,9.618
abilities,101,7.2973
ability,101,7.2973
abject,1,11.2273
able,101,7.2973
abliguration,1,11.2273
ablutophobia,3,10.5342
abner,2,10.8218
abnormal,15,9.1481
abnormality,15,9.1481
abnormally,15,9.1481
aboard,10,9.5227
abode,2,10.8218
abolish,9,9.618
abolished,9,9.618
abolitionist,1,11.2273
abominable,3,10.5342
abomination,3,10.5342
aboriginal,4,10.3111
aborigines,4,10.3111
abortion,6,9.9746
abortions,6,9.9746
above,43,8.137
abracadabra,1,11.2273
abraham,50,7.9895
abrahamian,1,11.2273
abrahams,50,7.9895
abramovich,1,11.2273
abrams,1,11.2273
abrazo,1,11.2273
abre,1,11.2273
abrivado,1,11.2273
abroad,2,10.8218
abrupt,1,11.2273
abs,14,9.2126
absalom,1,11.2273
absence,3,10.5342
absent,3,10.5342
absentee,1,11.2273
absinthe,10,9.5227
absolute,20,8.8763
absolutely,20,8.8763
absolutism,20,8.8763
absorb,6,9.9746
absorbed,6,9.9746
absorbs,6,9.9746
absorption,4,10.3111
absquatulate,1,11.2273
abstinence,3,10.5342
abstract,4,10.3111
absurdity,1,11.2273
abu,9,9.618
abuela,2,10.8218
abuja,1,11.2273
abul,1,11.2273
abundance,6,9.9746
abundant,6,9.9746
abuse,9,9.618
abused,9,9.618
abusing,9,9.618
abusive,9,9.618
abysmal,1,11.2273
abyss,3,10.5342
abyssinia,7,9.8411
ac,40,8.2076
acacemy,1,11.2273
academia,1,11.2273
academic,10,9.5227
academicians,1,11.2273
academics,10,9.5227
academy,414,5.8996
academys,414,5.8996
acadia,1,11.2273
acapulco,2,10.8218
acarophobia,1,11.2273
acc,5,10.1288
acceded,3,10.5342
accelerate,7,9.8411
accelerated,7,9.8411
acceleration,7,9.8411
accent,4,10.3111
accents,4,10.3111
accept,54,7.9141
acceptable,54,7.9141
acceptably,54,7.9141
acceptance,54,7.9141
accepted,54,7.9141
accepts,54,7.9141
access,18,8.9763
accessible,18,8.9763
accession,18,8.9763
accessories,9,9.618
accessory,9,9.618
accidency,42,8.16
accident,42,8.16
accidental,21,8.8298
accidentally,21,8.8298
accidents,42,8.16
accio,1,11.2273
acclaim,13,9.2816
acclaimed,13,9.2816
accolent,2,10.8218
accomadate,1,11.2273
accommodate,5,10.1288
accommodating,5,10.1288
accommodation,5,10.1288
accomodate,1,11.2273
accompanied,14,9.2126
accompanies,14,9.2126
accompanist,1,11.2273
accompany,14,9.2126
accompanying,14,9.2126
accomplice,1,11.2273
accomplish,17,9.0304
accomplished,17,9.0304
accomplishing,17,9.0304
accomplishments,17,9.0304
accord,595,5.5409
according,595,5.5409
accordion,10,9.5227
accordionist,3,10.5342
accordionists,3,10.5342
accordions,10,9.5227
accords,595,5.5409
account,19,8.925
accountant,19,8.925
accounted,19,8.925
accounting,19,8.925
accounts,19,8.925
accra,1,11.2273
accredited,1,11.2273
accs,5,10.1288
accumulate,5,10.1288
accumulating,5,10.1288
accumulation,5,10.1288
accurate,11,9.4357
accurately,11,9.4357
accused,31,8.4552
accuser,31,8.4552
accuses,31,8.4552
accustomed,2,10.8218
acdc,1,11.2273
ace,40,8.2076
acer,1,11.2273
acerophobia,1,11.2273
acetabulum,1,11.2273
acetate,2,10.8218
acetic,2,10.8218
acetylene,1,11.2273
aceveda,1,11.2273
acevedo,1,11.2273
achaemenid,1,11.2273
ache,2,10.8218
achelous,1,11.2273
aches,2,10.8218
achieve,49,8.0093
achieved,49,8.0093
achievement,49,8.0093
achievements,49,8.0093
achieving,49,8.0093
achilles,9,9.618
achluophobia,2,10.8218
acholi,1,11.2273
achtung,3,10.5342
achy,1,11.2273
acid,56,7.8784
acidic,56,7.8784
acidiferous,1,11.2273
acidifiable,1,11.2273
acidification,1,11.2273
acidimetric,1,11.2273
acidity,56,7.8784
acidophilous,1,11.2273
acids,56,7.8784
acknowledge,11,9.4357
acknowledged,11,9.4357
acknowledgement,11,9.4357
acknowledgment,11,9.4357
ackrous,1,11.2273
ackward,1,11.2273
ackword,1,11.2273
acne,2,10.8218
acnient,1,11.2273
acol,1,11.2273
acommodate,1,11.2273
acompa,2,10.8218
aconcagua,3,10.5342
acorns,1,11.2273
acouchis,1,11.2273
acoushla,1,11.2273
acoustic,1,11.2273
acousticophobia,1,11.2273
acp,1,11.2273
acquire,21,8.8298
acquired,21,8.8298
acquisition,1,11.2273
acre,25,8.6628
acres,25,8.6628
acrobat,3,10.5342
acrobatics,3,10.5342
acronyal,1,11.2273
acronym,6,9.9746
acrophobia,5,10.1288
acropolis,3,10.5342
across,37,8.2835
acrylic,1,11.2273
act,175,6.7531
acta,1,11.2273
actaeon,1,11.2273
acted,175,6.7531
acting,175,6.7531
actinide,1,11.2273
actinium,1,11.2273
actinoids,1,11.2273
actinology,1,11.2273
action,95,7.3578
actions,95,7.3578
actium,2,10.8218
activate,90,7.4112
activated,90,7.4112
active,90,7.4112
actively,90,7.4112
activeness,90,7.4112
activist,11,9.4357
activities,90,7.4112
activity,90,7.4112
acton,1,11.2273
actor,1188,4.8608
actors,1188,4.8608
actress,736,5.3311
actresses,736,5.3311
actresss,1,11.2273
acts,175,6.7531
actual,133,7.025
actually,133,7.025
acupressure,1,11.2273
acute,3,10.5342
ad,85,7.4676
ada,4,10.3111
adage,1,11.2273
adairs,1,11.2273
adam,128,7.0629
adama,2,10.8218
adamant,128,7.0629
adamantly,1,11.2273
adamas,2,10.8218
adams,128,7.0629
adamss,1,11.2273
adamstown,1,11.2273
adapt,40,8.2076
adaptation,40,8.2076
adaptations,40,8.2076
adapted,40,8.2076
adaption,40,8.2076
adaptive,40,8.2076
adbusturs,1,11.2273
add,21,8.8298
addai,1,11.2273
addams,17,9.0304
added,85,7.4676
adder,2,10.8218
adderly,1,11.2273
addict,25,8.6628
addicted,25,8.6628
addiction,25,8.6628
addictive,25,8.6628
addicts,25,8.6628
addie,10,9.5227
adding,85,7.4676
addis,10,9.5227
addison,1,11.2273
addition,15,9.1481
additional,15,9.1481
additionally,1,11.2273
additive,15,9.1481
addmision,1,11.2273
addresable,1,11.2273
address,38,8.2575
addressable,38,8.2575
addressed,38,8.2575
addresses,38,8.2575
adds,21,8.8298
addy,10,9.5227
adelaide,1,11.2273
adele,4,10.3111
adella,1,11.2273
adelle,4,10.3111
adelphia,1,11.2273
ademas,1,11.2273
aden,1,11.2273
adenauer,1,11.2273
adeno,1,11.2273
adenosine,1,11.2273
adenosinetriphosphate,1,11.2273
adeona,1,11.2273
adept,3,10.5342
adewale,2,10.8218
adhered,4,10.3111
adherent,4,10.3111
adherents,4,10.3111
adhesive,1,11.2273
adidas,3,10.5342
adieu,1,11.2273
adiga,1,11.2273
adirondack,1,11.2273
adjacent,1,11.2273
adjective,23,8.7428
adjectives,23,8.7428
adjoining,1,11.2273
adjunct,2,10.8218
adjustable,4,10.3111
adjustment,4,10.3111
adjutant,1,11.2273
adkins,2,10.8218
adler,16,9.0875
adlers,16,9.0875
administered,4,10.3111
administering,4,10.3111
administers,4,10.3111
administration,19,8.925
administrative,19,8.925
administratively,19,8.925
administrator,19,8.925
adminstration,1,11.2273
admirable,29,8.5197
admiral,29,8.5197
admiration,29,8.5197
admire,29,8.5197
admired,29,8.5197
admirer,29,8.5197
admirers,29,8.5197
admision,1,11.2273
admission,4,10.3111
admit,28,8.5536
admits,28,8.5536
admitted,28,8.5536
admittedly,1,11.2273
ado,3,10.5342
adobes,1,11.2273
adolescence,2,10.8218
adolescent,2,10.8218
adolf,28,8.5536
adolph,6,9.9746
adolphe,6,9.9746
adolpho,1,11.2273
adonais,2,10.8218
